EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10052260,CUMBERLAND CLUB,,,116 HIGH ST,PORTLAND,ME,04101-3815,0,7,3,1000,194206,2,0,319916000,1,1,201512,6,6,1,0,12,1309589,1657663,737532,N50,
10055140,HALLOWELL CENTENNIAL BURIAL GROUND ASSN INC,,,10 LITCHFIELD RD,HALLOWELL,ME,04347-1109,0,13,3,1000,197603,0,0,0,5,1,201606,4,3,2,0,6,495826,32856,32684,,
10056642,DEMERRITT CEMETERY ASSOC,,,PO BOX 78,PERU,ME,04290-0078,0,13,3,2000,194710,1,0,900000000,1,1,201612,0,0,2,0,12,0,0,0,,
10056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,,,21 UNION ST,CALAIS,ME,04619-1819,0,12,3,1000,196406,2,0,279000000,3,1,201512,8,8,1,0,12,39372255,15821318,15821318,,
10056995,NATIONAL KITCHEN & BATH ASSO,,,8 LIGHTHOUSE POINT RD,CAPE ELIZ,ME,04107-9525,3379,6,9,2000,199407,2,0,200000000,5,1,201612,0,0,2,0,12,0,0,0,,MAINE CHAPTER
10061300,FRATERNAL ORDER OF EAGLES,,,164 WATER ST,SKOWHEGAN,ME,04976-1735,102,8,9,1000,199108,2,0,260000000,5,1,201605,3,4,1,0,5,90101,404001,59104,,1457 AERIE
10061310,FRATERNAL ORDER OF EAGLES,,,184 SAINT JOHN ST,PORTLAND,ME,04102-3021,102,8,9,1000,199108,2,0,260000000,5,1,201605,5,6,1,0,5,885901,2811549,658745,,565 AERIE
10063057,FRATERNAL ORDER OF EAGLES,,,57 BIRCH ST,BIDDEFORD,ME,04005-3311,102,8,9,1000,199108,2,0,260000000,5,1,201605,5,5,1,0,5,682138,958560,958560,,804 AERIE
10063430,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,76 INDUSTRIAL ST,WATERVILLE,ME,04901-5774,1156,8,9,1000,195110,1,0,279265000,5,1,201603,6,6,1,0,3,1174069,1691193,421740,,905 WATERVILLE
10063783,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,,,PO BOX 627,ELLSWORTH,ME,04605-0627,239,4,9,3000,194012,2,0,602911000,5,1,201606,0,0,2,0,6,0,0,0,,13678 ELLSWORTH
