EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10067817,INDEPENDENT ORDER OF ODD FELLOWS,,,190 LOWER ROUND POND RD,BRISTOL,ME,04539-3209,28,8,9,1000,197211,1,0,36382265,5,1,201606,0,0,2,0,12,0,0,0,,53 MARINERS LDG
10072838,FRATERNAL ORDER OF EAGLES,,,1327 SABATTUS RD,LEWISTON,ME,04240-2115,102,8,9,1000,199108,2,0,260000000,5,1,201605,4,6,1,0,5,226377,1666366,260565,,618 AERIE
10079380,CPORT CREDIT UNION,,,50 RIVERSIDE INDUSTRIAL PKWY,PORTLAND,ME,04103-1426,2048,14,9,1000,196911,2,0,921922000,5,1,201512,9,7,1,0,12,173898488,8384415,8384031,,
10083190,GREENWOOD CEMETERY ASSOCIATION,,,PO BOX 1323,BIDDEFORD,ME,04005-1323,0,13,3,2000,197502,2,0,900000000,1,1,201603,6,4,1,0,3,1280593,199254,89407,,
10086202,HARBOR CLUB INC,,,PO BOX 884,MOUNT DESERT,ME,04660-0884,0,7,3,1000,194702,2,0,318000000,1,1,201610,6,5,1,0,10,1830065,737037,734024,,
10092600,HOPE CEMETERY CORPORATION,,,PO BOX 211,KENNEBUNK,ME,04043-0211,0,13,3,2000,195209,1,0,900000000,1,1,201603,5,4,1,0,3,581281,233754,115430,,
10095329,IMPROVED ORDER OF REDMEN OF MAINE,,,44 THOMAS RD,STANDISH,ME,04084-5459,280,10,6,1000,194101,1,0,279265000,5,1,201512,4,3,2,0,12,384323,38000,38000,,GREAT COUNCIL
10095413,INDEPENDENT ORDER OF ODD FELLOWS,,,80 CARON LN,AUBURN,ME,04210-4289,28,8,9,1000,196205,1,0,36000000,5,1,201506,0,0,2,0,12,0,0,0,,MAINE GRAND ENCAMPMENT
10095414,INDEPENDENT ORDER OF ODD FELLOWS,,,80 CARON LN,AUBURN,ME,04210-4289,28,8,9,1000,196205,1,0,36382265,5,1,201606,6,6,1,0,6,4251238,1227102,146899,,MAINE GRAND LODGE
10095497,INDEPENDENT ORDER OF ODD FELLOWS,,,443 CROSS RD,SWANVILLE,ME,04915-4640,28,8,9,1000,197211,1,0,36382265,5,1,201606,0,0,2,0,12,0,0,0,,82 SEARS LODGE
