EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10114035,MAINE EDUCATION ASSOCIATION,,,35 COMMUNITY DR,AUGUSTA,ME,04330-8005,0,5,3,3000,197604,2,0,261263033,1,1,201608,6,7,1,0,8,3640881,8503978,8431656,,
10114110,MAINE WATER UTILITIES ASSOCIATION,,,150 CAPITOL ST STE 5,AUGUSTA,ME,04330-6858,0,6,0,1000,0,0,0,0,1,1,201609,4,4,1,0,9,137787,399089,399089,,
10114140,MAINE WOMANS CHRISTIAN TEMPERANCE,,,714 CONGRESS ST,PORTLAND,ME,04102-3306,0,4,2,1000,192911,2,0,59328029,1,1,201608,4,1,2,0,8,267156,9982,971,,
10114721,MECHANIC FALLS MAPLE GROVE CEMETERY INC,,,67 ROBERTS RD,NORWAY,ME,04268-5328,0,13,3,1000,194105,1,0,900000000,1,1,201612,0,0,2,0,12,0,0,0,,
10116360,WATERVILLE MASONIC ASSOCIATION,,,250 COUNTY RD,WATERVILLE,ME,04901-0000,0,2,3,1000,198002,2,0,912260000,1,1,201610,0,0,2,0,10,0,0,0,,
10116380,MASONIC TRUSTEES OF PORTLAND,,,415 CONGRESS ST,PORTLAND,ME,04101-3500,0,2,3,1000,201409,2,0,399000000,1,1,201512,6,4,1,0,12,1086106,108507,108507,S47,
10116390,SHRINERS INTERNATIONAL,,,11 SABATTUS ST,LEWISTON,ME,04240-7038,229,10,9,1000,194011,1,0,36000000,5,1,201512,6,6,1,0,12,1726476,1115107,556157,,KORA SHRINERS
10119375,MEGANTIC FISH & GAME CORP,,,6 FUNDY CIRCLE,FALMOUTH,ME,04105-1779,0,7,3,1000,194408,2,0,350281318,1,1,201610,6,5,1,0,10,3988388,733723,707317,N61Z,
10119385,MEGUNTICOOK GOLF CLUB,,,PO BOX 806,ROCKPORT,ME,04856-0806,0,7,3,1000,196711,2,0,280318319,1,1,201610,6,5,1,0,10,1266930,674076,673826,,
10124810,MT HOPE CEMETERY CORP,,,PO BOX 663,BANGOR,ME,04402-0663,0,13,3,2000,193410,1,0,900901000,1,1,201612,8,6,1,0,12,10888352,2753635,817799,,
