EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10024245,BANGOR REGION CHAMBER OF COMMERCE,,,2 HAMOND ST SUITE 1,BANGOR,ME,04401-5108,0,6,3,3000,194501,2,0,403279000,1,1,201512,4,5,1,0,12,193014,674346,660816,,
10024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,8,9,1000,197210,1,0,279265000,5,1,201603,5,6,1,0,3,929281,1618245,427685,,244 BANGOR
10024645,BANGOR SYMPHONY ORCHESTRA,,,PO BOX 1441,BANGOR,ME,04402-1441,0,3,3,1200,196806,1,15,119059000,1,1,201606,6,5,1,0,6,1863829,945519,667618,A69Z,
10024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,,,PO BOX 52,BAR HARBOR,ME,04609-0052,0,3,3,1000,199603,1,3,402404000,1,1,201607,5,3,0,1,7,757098,53165,,S20Z,
10027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,,,1 TUFTS RD,BELFAST,ME,04915-7513,275,8,9,1000,0,0,0,0,5,1,201703,0,0,2,0,3,0,0,0,,24 BELFAST LODGE
10027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,8,9,1000,195110,1,0,279265000,5,1,201603,5,6,1,0,3,614772,1925874,334627,,964 AUGUSTA
10027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,86 MAIN ST,HOULTON,ME,04730-2121,1156,8,9,1000,195110,1,0,279265000,5,1,201603,4,5,1,0,3,330310,614741,165138,,835 HOULTON
10027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,1675 LISBON ST,LEWISTON,ME,04240-3520,1156,8,9,1000,195110,1,0,279265000,5,1,201603,5,4,1,0,3,635299,471285,148771,,LEWISTON LODGE 371
10027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,1945 CONGRESS ST,PORTLAND,ME,04102-1903,1156,8,9,1000,195110,1,0,279265000,5,1,201603,4,5,1,0,3,322223,572214,193411,,0188 PORTLAND
10027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,8,9,1000,195110,1,0,279265000,5,1,201603,6,6,1,0,3,1052534,2063725,333332,,1008 ROCKLAND
