EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10124841,MT PLEASANT CEMETERY CORP,,,PO BOX 2383,S PORTLAND,ME,04116-2383,0,13,3,2000,197301,1,0,900000000,1,1,201512,5,3,2,0,12,918097,49365,49365,,
10127336,NEW AUBURN SOCIAL CLUB INC,,,7 SECOND ST,AUBURN,ME,04210-6847,0,7,3,1000,195111,2,0,319000000,1,1,201512,4,4,1,0,12,291170,305722,97765,,
10129660,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,,7 LAMBARD STREET,BATH,ME,04530-0000,1156,8,9,1000,195110,1,0,279265000,5,1,201603,4,4,1,0,3,234824,459882,321601,,934 BATH
10130065,NORTH AUBURN CEMETERY ASSOCIATION INC,,,625 N AUBURN RD,AUBURN,ME,04210-8716,0,13,3,2000,198310,1,0,900901000,1,1,201604,0,0,2,0,4,0,0,0,,
10130185,NORTH HAVEN CASINO,,,PO BOX 337,NORTH HAVEN,ME,04853-0337,0,4,3,1000,198105,2,0,297429000,1,1,201512,5,4,1,0,12,706820,218409,218409,,
10130335,NORTHEAST HARBOR TENNIS CLUB,,,PO BOX 366,BUCKSPORT,ME,04416-0366,0,7,3,1000,196412,2,0,318000000,1,1,201609,6,5,1,0,9,1712386,677830,559457,,
10130427,BRIDGTON HOSPITAL,,,29 LOWELL STREET BOX A,LEWISTON,ME,04240-7639,0,3,3,1000,195002,1,12,150000000,1,1,201606,9,9,1,0,6,56726534,57422298,54148524,E220,
10130865,NORWAY PINE GROVE CEMETERY CORP,,,PO BOX 85,NORWAY,ME,04268-0085,0,13,3,1000,201604,1,0,900000000,1,1,201604,5,4,1,0,4,692845,151337,33428,Y50,
10131335,OAK GROVE CEMETERY ASSO,,,128 COBBOSSEE AVE,GARDINER,ME,04345-9050,0,13,3,2000,194203,1,0,900000000,5,1,201512,6,5,1,0,12,1476461,634369,60599,,
10131390,OAKDALE COUNTRY CLUB,,,PO BOX 274,MEXICO,ME,04257-0274,0,4,3,2000,200002,2,0,0,1,1,201612,4,4,1,0,12,281511,194441,157517,N31,
