EIN,NAME,,,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10095705,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,,,238 GODDARD RD,LEWISTON,ME,04240-1000,64,5,9,3000,194008,2,0,263264279,5,1,201612,4,4,1,0,12,175996,473584,473584,,0567 LOCAL UNION
10095740,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,,,144 THADEUS ST,S PORTLAND,ME,04106-6239,320,5,9,3000,194102,2,0,911000000,5,1,201512,4,6,1,0,12,334997,2261189,2260275,,340 TCWH
10095770,UNITED STEELWORKERS,,,PO BOX 1320,BUCKSPORT,ME,04416-1320,260,5,9,3000,194012,2,0,263059269,5,1,201612,0,0,2,0,12,0,0,0,,01188 LOCAL
10096117,ISLAND COUNTRY CLUB,,,442 SUNSET RD,DEER ISLE,ME,04627-3869,0,7,3,1000,200002,2,0,0,1,1,201512,5,4,1,0,12,534228,274404,274404,N50,
10096152,ISLAND HOME CLUB,,,156 MEADOW LN,NEW GLOUCESTR,ME,04260-3630,0,7,3,1000,199807,2,0,319000000,1,1,201612,3,4,1,0,12,70794,146399,146399,,
10100593,KENNEBUNK RIVER CLUB,,,PO BOX 994,KENNEBUNKPORT,ME,04046-0994,0,7,3,1000,196007,2,0,318319317,1,1,201512,6,5,1,0,12,3813889,660922,660886,,
10102346,KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,,,21 OAK HILL RD,OTIS,ME,04605-6831,12,8,6,1000,194006,1,0,279000000,5,1,201612,0,0,2,0,12,0,0,0,,
10104905,LAUREL HILL CEMETERY ASSOCIATION,,,293 BEACH ST,SACO,ME,04072-2935,0,13,3,1000,199010,1,0,900000000,5,1,201611,7,7,1,0,11,9931086,6557985,205724,,
10112977,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,,PO BOX 303,BOWDOINHAM,ME,04008-0303,259,10,9,1000,194012,1,0,279265319,5,1,201607,6,5,1,0,7,3929101,609426,142465,,VALLEY OF PORTLAND CONSISTORY
10113840,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,,,21 GABRIEL DR,AUGUSTA,ME,04330-7852,1338,5,9,3000,195605,2,0,263264480,5,1,201512,4,5,1,0,12,265687,714468,697170,,AFL-CIO MAINE STATE
